時間,設備,值
2024-10-26 11:12:41,SA-52/LED_LEVEL,7
2024-10-26 11:12:42,SA-52/TEMPERATURE,34.07
2024-10-26 11:12:42,SA-52/LIGHT_LEVEL,1.0
2024-10-26 11:12:43,SA-52/TEMPERATURE,33.6
2024-10-26 11:12:51,SA-52/TEMPERATURE,34.07
2024-10-26 11:12:53,SA-52/TEMPERATURE,33.6
2024-10-26 11:12:53,SA-52/TEMPERATURE,34.07
2024-10-26 11:12:54,SA-52/TEMPERATURE,33.6
2024-10-26 11:13:03,SA-52/TEMPERATURE,34.07
2024-10-26 11:13:04,SA-52/TEMPERATURE,33.13
2024-10-26 11:13:05,SA-52/TEMPERATURE,33.6
2024-10-26 11:13:14,SA-52/TEMPERATURE,34.07
2024-10-26 11:13:15,SA-52/TEMPERATURE,33.6
2024-10-26 11:13:16,SA-52/LIGHT_LEVEL,0.0
2024-10-26 11:13:18,SA-52/TEMPERATURE,33.13
2024-10-26 11:13:18,SA-52/TEMPERATURE,34.07
2024-10-26 11:13:18,SA-52/LIGHT_LEVEL,1.0
2024-10-26 11:13:20,SA-52/TEMPERATURE,33.6
2024-10-26 11:13:21,SA-52/LIGHT_LEVEL,0.0
2024-10-26 11:13:22,SA-52/LIGHT_LEVEL,1.0
2024-10-26 11:13:22,SA-52/LIGHT_LEVEL,0.0
2024-10-26 11:13:24,SA-52/LIGHT_LEVEL,1.0
2024-10-26 11:13:28,SA-52/LED_LEVEL,5
2024-10-26 11:13:29,SA-52/TEMPERATURE,34.07
2024-10-26 11:13:31,SA-52/TEMPERATURE,33.6
2024-10-26 11:15:36,SA-52/LED_LEVEL,5
2024-10-26 11:15:36,SA-52/TEMPERATURE,34.07
2024-10-26 11:15:36,SA-52/LIGHT_STATE,1
2024-10-26 11:15:37,SA-52/TEMPERATURE,33.6
2024-10-26 11:15:38,SA-52/TEMPERATURE,34.07
2024-10-26 11:15:39,SA-52/LED_LEVEL,6
2024-10-26 11:15:40,SA-52/LED_LEVEL,7
2024-10-26 11:15:40,SA-52/TEMPERATURE,33.6
2024-10-26 11:15:41,SA-52/LED_LEVEL,6
2024-10-26 11:15:41,SA-52/TEMPERATURE,34.07
2024-10-26 11:15:42,SA-52/TEMPERATURE,33.6
2024-10-26 11:15:44,SA-52/LIGHT_STATE,0
2024-10-26 11:15:45,SA-52/TEMPERATURE,34.07
2024-10-26 11:15:45,SA-52/LIGHT_STATE,1
2024-10-26 11:15:47,SA-52/TEMPERATURE,33.6
2024-10-26 11:15:47,SA-52/LIGHT_STATE,0
2024-10-26 11:15:48,SA-52/TEMPERATURE,33.13
2024-10-26 11:15:49,SA-52/TEMPERATURE,33.6
2024-10-26 11:15:51,SA-52/TEMPERATURE,34.07
2024-10-26 11:15:51,SA-52/LIGHT_STATE,1
2024-10-26 11:15:52,SA-52/TEMPERATURE,33.6
2024-10-26 11:15:52,SA-52/LIGHT_STATE,0
2024-10-26 11:15:54,SA-52/LIGHT_STATE,1
2024-10-26 11:15:55,SA-52/LIGHT_STATE,0
2024-10-26 11:15:56,SA-52/LIGHT_STATE,1
2024-10-26 11:15:58,SA-52/LIGHT_STATE,0
2024-10-26 11:16:00,SA-52/LIGHT_STATE,1
2024-10-26 11:16:03,SA-52/LED_LEVEL,5
2024-10-26 11:16:04,SA-52/LED_LEVEL,4
2024-10-26 11:16:05,SA-52/LED_LEVEL,2
2024-10-26 11:16:05,SA-52/TEMPERATURE,33.13
2024-10-26 11:16:06,SA-52/LED_LEVEL,1
2024-10-26 11:16:06,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:07,SA-52/LED_LEVEL,0
2024-10-26 11:16:10,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:12,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:13,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:15,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:20,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:22,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:24,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:25,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:28,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:29,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:31,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:32,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:33,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:35,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:38,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:39,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:41,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:46,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:50,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:51,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:54,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:57,SA-52/TEMPERATURE,33.6
2024-10-26 11:16:58,SA-52/TEMPERATURE,34.07
2024-10-26 11:16:59,SA-52/TEMPERATURE,33.6
2024-10-26 11:17:00,SA-52/TEMPERATURE,34.07
2024-10-26 11:17:02,SA-52/TEMPERATURE,33.6
2024-10-26 11:17:04,SA-52/TEMPERATURE,34.07
2024-10-26 11:17:06,SA-52/TEMPERATURE,33.6
2024-10-26 11:17:10,SA-52/TEMPERATURE,34.07
2024-10-26 11:17:11,SA-52/TEMPERATURE,33.6
2024-10-26 11:17:12,SA-52/TEMPERATURE,34.07
2024-10-26 11:17:14,SA-52/TEMPERATURE,33.6
2024-10-26 11:17:18,SA-52/TEMPERATURE,34.07
2024-10-26 11:17:18,SA-52/LIGHT_STATE,1
2024-10-26 11:17:19,SA-52/TEMPERATURE,33.6
2024-10-26 11:17:21,SA-52/TEMPERATURE,34.07
2024-10-26 11:17:21,SA-52/LIGHT_STATE,0
2024-10-26 11:17:22,SA-52/LIGHT_STATE,1
2024-10-26 11:17:26,SA-52/LED_LEVEL,1
2024-10-26 11:17:28,SA-52/LED_LEVEL,3
2024-10-26 11:17:29,SA-52/TEMPERATURE,33.6
2024-10-26 11:17:30,SA-52/LED_LEVEL,6
2024-10-26 11:17:30,SA-52/TEMPERATURE,34.07
2024-10-26 11:17:31,SA-52/LED_LEVEL,9
2024-10-26 11:17:32,SA-52/LED_LEVEL,10
2024-10-26 11:17:35,SA-52/TEMPERATURE,33.6
2024-10-26 11:17:37,SA-52/TEMPERATURE,34.07
2024-10-26 11:17:38,SA-52/TEMPERATURE,33.6
2024-10-26 11:17:39,SA-52/TEMPERATURE,34.07
2024-10-26 11:17:40,SA-52/TEMPERATURE,33.6
